iter	Passed	Remaining
0	3	1508
1	5	1352
2	7	1290
3	10	1319
4	13	1290
5	15	1269
6	17	1261
7	20	1246
8	22	1239
9	25	1244
10	27	1235
11	30	1239
12	32	1234
13	35	1236
14	37	1227
15	40	1214
16	42	1211
17	45	1205
18	47	1210
19	50	1217
20	53	1212
21	55	1210
22	58	1212
23	61	1212
24	63	1210
25	66	1210
26	69	1218
27	72	1214
28	74	1217
29	77	1220
30	80	1218
31	83	1218
32	86	1223
33	89	1222
34	92	1225
35	94	1217
36	97	1214
37	99	1208
38	101	1200
39	104	1196
40	106	1197
41	109	1193
42	112	1190
43	114	1190
44	117	1185
45	119	1184
46	123	1186
47	125	1180
48	127	1176
49	130	1174
50	133	1171
51	135	1169
52	138	1167
53	141	1165
54	143	1164
55	146	1160
56	149	1160
57	152	1163
58	155	1159
59	157	1158
60	160	1156
61	163	1154
62	165	1149
63	168	1148
64	171	1144
65	173	1139
66	176	1138
67	178	1136
68	181	1132
69	184	1131
70	186	1128
71	189	1126
72	192	1125
73	195	1123
74	197	1118
75	200	1116
76	202	1112
77	204	1108
78	207	1106
79	209	1102
80	212	1097
81	214	1094
82	217	1091
83	219	1087
84	221	1082
85	224	1079
86	226	1075
87	228	1070
88	231	1068
89	233	1063
90	235	1059
91	237	1054
92	240	1051
93	242	1048
94	244	1043
95	247	1040
96	249	1037
97	252	1034
98	254	1031
99	257	1028
100	259	1024
101	261	1020
102	264	1018
103	266	1014
104	268	1010
105	271	1008
106	273	1005
107	276	1001
108	278	999
109	281	997
110	283	995
111	286	993
112	289	992
113	292	990
114	295	988
115	297	986
116	300	983
117	302	980
118	305	978
119	307	974
120	310	972
121	313	970
122	315	968
123	318	965
124	321	963
125	323	960
126	325	957
127	328	955
128	331	953
129	334	951
130	336	949
131	339	945
132	341	943
133	344	940
134	346	937
135	349	935
136	351	932
137	354	929
138	357	927
139	359	924
140	361	921
141	364	918
142	366	915
143	369	912
144	371	909
145	374	907
146	376	904
147	379	901
148	381	899
149	384	896
150	386	893
151	389	891
152	392	889
153	395	888
154	398	886
155	400	883
156	402	880
157	405	877
158	408	875
159	410	872
160	413	869
161	415	866
162	417	863
163	419	860
164	422	857
165	424	854
166	426	851
167	429	848
168	431	845
169	434	842
170	437	841
171	439	838
172	442	835
173	444	833
174	447	830
175	449	828
176	452	825
177	455	823
178	458	821
179	461	820
180	464	818
181	466	815
182	469	813
183	472	811
184	474	808
185	478	807
186	480	804
187	482	801
188	485	798
189	487	795
190	489	792
191	492	790
192	494	787
193	497	784
194	499	781
195	501	778
196	504	775
197	506	772
198	509	770
199	511	767
200	513	764
201	516	761
202	518	759
203	521	756
204	524	754
205	526	751
206	529	748
207	538	756
208	541	754
209	543	751
210	546	748
211	549	746
212	551	743
213	554	741
214	557	738
215	559	735
216	562	733
217	564	730
218	567	727
219	569	724
220	572	722
221	574	719
222	577	716
223	579	714
224	582	711
225	584	708
226	587	706
227	589	703
228	591	700
229	594	697
230	597	695
231	599	692
232	602	690
233	604	687
234	607	684
235	609	681
236	612	679
237	614	676
238	616	673
239	619	670
240	621	667
241	623	664
242	626	662
243	628	659
244	631	656
245	633	654
246	635	651
247	638	648
248	640	645
249	643	643
250	645	640
251	647	637
252	650	635
253	653	632
254	655	629
255	657	627
256	660	624
257	662	621
258	664	618
259	666	615
260	669	612
261	671	609
262	674	607
263	676	604
264	678	601
265	680	598
266	683	596
267	685	593
268	687	589
269	689	587
270	691	584
271	693	581
272	695	578
273	698	576
274	701	573
275	703	571
276	706	568
277	708	566
278	710	563
279	713	560
280	716	558
281	718	555
282	720	552
283	722	549
284	725	547
285	727	544
286	730	541
287	732	539
288	734	536
289	737	534
290	740	531
291	743	529
292	746	527
293	748	524
294	750	521
295	753	519
296	756	516
297	758	514
298	761	511
299	763	509
300	765	506
301	768	503
302	771	501
303	773	498
304	775	495
305	777	493
306	780	490
307	782	487
308	785	485
309	788	483
310	790	480
311	793	478
312	796	475
313	798	472
314	801	470
315	803	468
316	806	465
317	809	463
318	811	460
319	813	457
320	815	454
321	817	452
322	820	449
323	822	446
324	825	444
325	827	441
326	829	438
327	832	436
328	834	433
329	836	431
330	839	428
331	842	426
332	844	423
333	846	420
334	848	418
335	851	415
336	853	412
337	856	410
338	858	407
339	861	405
340	864	402
341	866	400
342	869	397
343	872	395
344	874	392
345	876	390
346	879	387
347	882	385
348	884	382
349	887	380
350	889	377
351	891	375
352	894	372
353	896	369
354	899	367
355	901	364
356	904	362
357	907	359
358	909	357
359	912	354
360	914	352
361	916	349
362	920	347
363	923	344
364	926	342
365	928	340
366	931	337
367	933	334
368	936	332
369	938	329
370	940	327
371	943	324
372	945	322
373	948	319
374	950	316
375	953	314
376	955	311
377	958	309
378	960	306
379	963	304
380	965	301
381	967	299
382	970	296
383	972	293
384	974	291
385	976	288
386	979	285
387	981	283
388	983	280
389	985	278
390	988	275
391	990	272
392	993	270
393	995	267
394	997	265
395	999	262
396	1002	259
397	1004	257
398	1006	254
399	1008	252
400	1010	249
401	1013	247
402	1015	244
403	1018	241
404	1020	239
405	1022	236
406	1025	234
407	1027	231
408	1030	229
409	1032	226
410	1034	224
411	1037	221
412	1039	219
413	1041	216
414	1044	213
415	1046	211
416	1048	208
417	1051	206
418	1053	203
419	1056	201
420	1058	198
421	1060	196
422	1062	193
423	1064	190
424	1066	188
425	1069	185
426	1071	183
427	1073	180
428	1076	178
429	1078	175
430	1080	173
431	1082	170
432	1085	167
433	1087	165
434	1089	162
435	1091	160
436	1094	157
437	1096	155
438	1098	152
439	1101	150
440	1103	147
441	1105	145
442	1107	142
443	1109	139
444	1112	137
445	1114	134
446	1116	132
447	1119	129
448	1121	127
449	1125	125
450	1127	122
451	1130	120
452	1132	117
453	1135	115
454	1137	112
455	1140	110
456	1143	107
457	1145	105
458	1148	102
459	1150	100
460	1152	97
461	1155	95
462	1158	92
463	1160	90
464	1162	87
465	1165	85
466	1167	82
467	1170	80
468	1173	77
469	1175	75
470	1178	72
471	1181	70
472	1184	67
473	1186	65
474	1188	62
475	1191	60
476	1193	57
477	1197	55
478	1199	52
479	1201	50
480	1204	47
481	1207	45
482	1209	42
483	1212	40
484	1215	37
485	1217	35
486	1220	32
487	1223	30
488	1225	27
489	1228	25
490	1230	22
491	1233	20
492	1236	17
493	1238	15
494	1241	12
495	1244	10
496	1246	7
497	1250	5
498	1253	2
499	1255	0
